rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
302,315,0,198,0,10876,false
302,313,0,0,0,11271,false
302,316,0,92,0,10968,false
302,313,0,30,0,11302,false
302,315,0,82,0,10886,false
302,315,0,27,0,11275,false
287,315,0,1469,0,39352,true
286,318,0,7066,0,34223,true
288,315,0,2744,0,36608,true
289,315,0,5835,0,40058,true
294,313,0,1711,0,38319,true
293,312,0,2734,0,37323,true
298,319,0,4781,0,33538,true
298,318,0,3649,0,33674,true
298,314,0,3377,0,36915,true
298,314,0,2836,0,36510,true
295,318,0,4843,0,32072,true
296,313,0,864,0,37374,true
293,314,0,3266,0,35338,true
293,314,0,3711,0,33663,true
291,314,0,1437,0,33901,true
294,314,0,2023,0,35686,true
289,319,0,2345,0,31555,true
289,314,0,789,0,36476,true
36,20,0,0,0,0,false
34,47,0,0,0,0,false
34,61,0,0,0,0,false
34,47,0,0,0,0,false
34,351,0,0,0,0,false
34,352,0,0,0,0,false
34,47,0,0,0,0,false
34,147,0,0,0,0,false
34,272,0,0,0,0,false
34,283,0,0,0,0,false
34,349,0,0,0,0,false
34,316,0,0,0,0,false
34,211,0,0,0,0,false
34,45,0,0,0,0,false
34,53,0,0,0,0,false
34,92,0,0,0,0,false
34,100,0,0,0,0,false
34,64,0,0,0,0,false
288,246,97,0,669,0,false
313,260,49,0,704,0,false
280,295,91,0,578,0,false
220,282,16,0,687,0,false
207,232,109,0,687,0,false
315,177,24,0,711,0,false
250,206,90,0,596,0,false
214,184,8,0,719,0,false
306,197,119,0,716,0,false
286,243,46,0,766,0,false
244,212,77,0,639,0,false
123,269,32,0,733,0,false
191,163,77,0,716,0,false
255,163,5,0,739,0,false
244,162,78,0,638,0,false
44,159,10,0,749,0,false
284,159,87,0,725,0,false
163,158,16,0,732,0,false
82,134,426,0,6995,0,false
77,135,453,0,7411,0,false
83,113,83,0,6912,0,false
82,133,135,0,7546,0,false
98,136,227,0,7139,0,false
180,99,9,0,7536,0,false
176,143,189,0,6950,0,false
68,138,222,0,7758,0,false
177,164,407,0,7357,0,false
127,143,43,0,7714,0,false
160,181,363,0,6994,0,false
172,144,81,0,7633,0,false
169,144,72,0,6921,0,false
155,198,271,0,7361,0,false
178,159,31,0,6890,0,false
138,199,465,0,7827,0,false
169,167,518,0,7408,0,false
92,185,28,0,7855,0,false
197,150,1288,106,50450,1985,true
216,167,321,166,51302,1924,true
217,159,155,87,50606,1897,true
257,146,454,192,50848,2116,true
257,156,176,210,50782,2108,true
257,129,406,309,51254,1806,true
251,131,346,255,51128,1853,true
253,167,445,224,51700,2031,true
263,158,130,85,50997,1938,true
263,160,716,87,50983,1943,true
403,131,640,373,51637,1565,true
406,157,640,232,51623,1711,true
405,140,216,340,51421,1905,true
398,154,102,20,51521,1690,true
398,154,76,216,51498,1689,true
375,157,406,129,51928,1819,true
327,147,54,454,51552,2143,true
297,146,573,473,52501,2293,true
62,116,0,1,0,3997,false
62,116,0,1,0,3998,false
62,116,0,0,0,3998,false
283,115,0,107,0,4105,false
337,119,0,158,0,4156,false
328,157,0,57,0,4048,false
324,81,0,112,0,4044,false
182,76,0,265,0,4313,false
177,95,0,214,0,4258,false
53,112,0,48,0,4361,false
61,66,0,37,0,4295,false
77,132,0,4,0,4365,false
46,95,0,102,0,4398,false
33,81,0,76,0,4442,false
98,145,0,3,0,4401,false
53,140,0,45,0,4487,false
159,148,0,81,0,4482,false
270,130,0,59,0,4547,false
27,104,119,616,29953,12908,true
30,38,505,1037,29388,12169,true
20,53,350,629,29603,12278,true
25,31,132,318,29521,11850,true
21,16,48,339,29651,11938,true
44,2,185,205,29335,11644,true
26,17,302,266,29349,11672,true
29,43,34,35,29301,11680,true
32,39,176,381,29525,12054,true
57,66,280,692,29581,12373,true
54,68,228,828,29754,12882,true
56,122,155,615,29736,12988,true
80,90,92,72,29662,12809,true
63,51,154,484,29582,12504,true
14,51,101,257,29763,12552,true
47,28,96,149,29678,12355,true
29,55,318,42,29445,12509,true
20,94,182,324,29496,12679,true
183,356,4,289,1122,981,true
180,282,160,126,1231,570,true
225,272,86,363,1209,617,true
129,287,64,118,1167,689,true
112,267,53,138,1262,756,true
130,304,155,35,1322,653,true
171,314,92,10,1354,745,true
69,302,22,147,1299,800,true
92,336,11,153,1366,899,true
62,322,11,71,1310,872,true
93,320,123,105,1243,1004,true
64,360,131,14,1178,857,true
61,347,327,229,1570,774,true
79,353,491,42,1670,815,true
9,366,148,6,1718,768,true
13,363,45,90,1716,725,true
7,366,96,70,1815,697,true
65,356,110,64,1826,660,true
27,97,287,0,3733,0,true
26,111,77,0,3827,0,true
28,110,11,0,3721,0,true
26,120,300,0,3527,0,true
30,127,260,0,3461,0,true
27,121,84,0,3442,0,true
25,121,12,0,3449,0,true
26,123,282,0,3160,0,true
28,347,365,0,3083,0,true
26,303,71,0,3089,0,true
28,303,114,0,3198,0,true
28,309,53,0,3035,0,true
31,281,186,0,3011,0,true
28,318,55,0,2980,0,true
27,342,108,0,3120,0,true
46,270,484,0,3464,0,true
57,61,454,0,3574,0,true
57,259,360,0,3825,0,true
200,272,171,1446,1450,11855,true
200,271,138,54,1721,12227,true
204,270,14,532,1436,11322,true
211,272,315,1038,2037,11189,true
215,267,327,2180,1763,9142,true
218,278,779,4254,1258,6934,true
206,269,303,2189,1459,6952,true
224,270,461,602,1719,7536,true
258,270,211,376,1671,7328,true
249,270,353,273,2073,7263,true
244,271,269,517,1940,6811,true
190,267,130,121,2203,7384,true
203,271,19,13,1920,6824,true
254,266,233,765,1970,6619,true
192,264,143,401,2064,6423,true
201,261,409,48,2379,6571,true
233,261,245,50,2309,6473,true
238,264,185,115,2565,6455,true
317,317,0,0,0,0,true
317,317,0,0,0,0,true
317,317,0,0,0,0,true
316,316,0,0,0,0,true
316,316,0,0,0,0,true
316,316,0,0,0,0,true
316,316,0,0,0,0,true
317,317,0,0,0,0,true
315,315,0,0,0,0,true
315,315,0,0,0,0,true
313,313,0,0,0,0,true
309,309,0,0,0,0,true
309,309,0,0,0,0,true
309,309,0,0,0,0,true
308,308,0,0,0,0,true
308,308,0,0,0,0,true
309,309,0,0,0,0,true
309,309,0,0,0,0,true
114,320,0,0,0,0,true
92,364,0,0,0,0,true
87,366,0,0,0,0,true
94,280,0,0,0,0,true
359,369,0,0,0,0,true
359,365,0,0,0,0,true
131,338,0,0,0,0,true
138,222,0,0,0,0,true
146,147,0,0,0,0,true
151,151,0,0,0,0,true
152,152,1025,963,1025,963,true
140,152,1423,1045,1423,1045,true
127,137,524,963,501,0,true
82,129,885,1045,537,0,true
61,136,404,0,906,0,true
63,350,413,0,950,0,true
63,365,176,0,1082,0,true
63,364,140,0,810,0,true
206,0,99,0,1983,0,true
206,0,108,0,1985,0,true
206,0,44,0,1939,0,true
206,0,151,0,1834,0,true
206,0,29,0,1910,0,true
206,0,116,0,1951,0,true
206,0,125,0,1785,0,true
204,0,96,0,1855,0,true
201,0,83,0,1701,0,true
201,0,196,0,1659,0,true
263,237,0,29,0,2033,true
234,233,0,15,0,1987,true
313,221,0,141,0,2174,true
218,229,0,162,0,2150,true
263,236,0,1,0,2173,true
176,239,0,2,0,2152,true
318,241,0,5,0,2168,true
324,236,0,7,0,2160,true
310,237,0,114,0,2283,true
308,238,0,137,0,2297,true
249,233,0,109,0,2174,true
324,237,0,33,0,2263,true
316,235,0,67,0,2241,true
316,231,0,112,0,2151,true
305,232,0,34,0,2207,true
256,233,0,147,0,2298,true
315,238,0,152,0,2359,true
310,235,0,110,0,2408,true
209,259,473,399,11028,42939,true
203,259,299,397,11163,43117,true
213,264,454,539,11482,43479,true
221,264,304,574,11468,43691,true
230,261,272,104,11210,43375,true
240,263,360,175,11107,43515,true
234,253,13,89,11224,43464,true
235,246,202,76,11309,43591,true
228,192,61,226,11285,43690,true
222,181,205,99,11515,43690,true
220,177,362,66,11647,43624,true
221,175,56,31,11571,43722,true
206,173,125,619,11773,44243,true
203,169,143,786,11714,44508,true
211,167,475,268,11298,44511,true
203,165,444,94,11269,44413,true
204,160,211,238,11087,44272,true
210,157,245,337,11024,44076,true
261,203,0,146,0,4366,true
260,202,0,330,0,4583,true
269,201,0,233,0,4599,true
273,200,0,79,0,4662,true
278,200,0,39,0,4560,true
246,199,0,2246,0,2416,true
246,200,0,2228,0,2331,true
261,192,0,1433,0,3850,true
261,192,0,2026,0,4357,true
263,191,0,780,0,4631,true
269,193,0,741,0,5099,true
265,195,0,937,0,5568,true
264,193,0,497,0,4601,true
264,193,0,1768,0,3800,true
278,200,0,607,0,3994,true
279,197,0,3,0,3797,true
264,196,0,329,0,3665,true
273,197,0,1645,0,5442,true
