rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
63,178,0,6,184,18879,false
72,116,29,549,213,19416,false
121,104,4,506,188,19385,false
241,144,20,395,233,19021,false
292,86,78,376,266,19009,false
297,78,90,1241,143,20262,false
235,112,90,1103,176,20112,false
73,108,12,268,155,20530,false
28,87,620,2885,134081,57744,true
28,69,2283,4442,131673,54871,true
17,78,1666,2510,132415,55234,true
30,36,331,1556,132004,53315,true
21,9,22,1701,132393,53533,true
45,4,706,974,131298,52341,true
29,4,1115,996,131278,52537,true
26,14,261,179,131037,52520,true
30,49,848,1464,132126,54001,true
53,71,1521,3184,132558,55704,true
40,357,53,1296,5219,4648,true
43,317,577,558,5657,2811,true
54,275,372,1691,5591,2957,true
148,292,282,436,5375,3247,true
211,278,226,659,5817,3616,true
145,282,730,83,6105,3164,true
115,305,375,16,6192,3600,true
147,312,145,653,5960,3817,true
170,334,87,661,6279,4261,true
184,327,102,266,6062,4083,true
