rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
338,323,81,1158,707,33978,true
356,321,19,368,727,35114,true
357,321,8,194,699,34172,true
351,322,151,1220,878,36334,true
300,322,151,974,850,35146,true
237,317,98,1765,976,38099,true
175,316,154,2485,1004,37631,true
221,314,174,773,1150,38872,true
170,315,25,1192,1029,36439,true
225,313,88,1286,1238,40158,true
42,42,74,0,13419,0,true
10,42,146,0,13436,0,true
43,42,96,0,13323,0,true
32,42,24,0,13460,0,true
18,47,1,0,13324,0,true
40,48,22,0,13482,0,true
84,51,114,0,13210,0,true
52,58,30,0,13452,0,true
73,59,8215,0,4995,0,true
41,61,11006,0,2446,0,true
134,134,0,0,0,0,false
141,141,0,0,0,0,false
144,144,0,0,0,0,false
127,127,0,0,0,0,false
122,122,0,0,0,0,false
131,156,0,1,0,1,false
190,190,0,0,0,0,false
198,135,0,0,0,1,false
184,184,0,0,0,0,false
185,150,0,3,0,4,false
159,232,568,2470,3753,49541,true
131,223,388,1836,3573,48845,true
138,206,41,31,3794,49572,true
129,195,166,2394,3407,46451,true
171,195,100,143,3894,49429,true
145,195,245,1934,3652,48385,true
145,193,134,818,3760,48611,true
139,195,318,2180,3334,46205,true
176,197,310,512,4070,49123,true
138,200,513,1677,3847,47882,true
94,110,3474,971,32834,3871,false
93,118,886,323,33034,3897,false
103,104,1672,329,31162,3542,false
77,168,1328,280,34362,4177,false
99,136,2833,504,33995,4046,false
81,86,1889,89,36251,4088,false
87,112,975,436,33020,3610,false
141,170,480,219,36731,4307,false
110,120,3737,580,36757,4190,false
119,104,332,291,36399,4016,false
105,405,0,51,0,1634,false
90,405,0,119,0,1593,false
97,405,0,114,0,1520,false
102,405,0,2,0,1591,false
94,405,0,4,0,1516,false
112,396,0,106,0,1485,false
102,405,0,126,0,1390,false
97,398,0,32,0,1453,false
106,405,0,39,0,1429,false
110,394,0,16,0,1437,false
30,190,612,2,4889,97,true
68,186,45,66,5081,158,true
236,155,201,14,4688,83,true
41,206,311,58,4770,100,true
47,205,590,3,5278,80,true
27,152,123,14,4893,86,true
29,202,185,48,5463,128,true
29,222,533,34,5426,120,true
27,217,33,91,5496,219,true
148,187,481,45,4945,165,true
130,130,0,3,0,0,false
129,350,0,3,0,3,false
164,164,0,0,0,0,false
224,303,0,18,0,21,false
118,253,0,42,0,42,false
119,256,2,30,2,51,false
101,283,0,8,0,34,false
109,252,2,11,0,40,false
207,282,0,5,0,39,false
167,248,0,10,0,50,false
55,113,438,474,35327,6111,false
50,99,841,200,38219,6613,false
65,71,1730,228,37057,6339,false
44,72,269,102,37950,6511,false
43,70,2251,304,34806,6035,false
65,116,311,75,38261,6586,false
54,95,2029,337,36835,6372,false
49,125,823,128,37438,6458,false
54,119,2112,329,34723,6043,false
50,139,1355,165,36083,6293,false
141,236,345,574,12893,33007,true
179,238,855,807,14226,34442,true
180,237,949,1168,13842,34175,true
235,237,675,485,14901,34927,true
154,236,229,1270,13613,32905,true
240,239,369,555,15270,35482,true
258,238,745,2196,14358,35101,true
212,235,721,262,14549,35220,true
158,237,903,1291,13455,33810,true
261,238,302,89,14851,35131,true
121,129,140,2699,2775,43037,true
110,126,8,659,2745,42659,true
94,131,101,2115,2674,40922,true
86,131,96,1553,2649,41106,true
97,132,196,3512,2870,44434,true
98,132,218,2859,2867,43965,true
114,131,73,1143,2797,43291,true
94,118,188,3294,2679,40671,true
109,133,28,469,2825,42822,true
98,110,247,3565,2926,44236,true
300,312,0,7,0,52381,false
302,312,0,1860,0,51456,false
302,312,10,3123,10,49258,false
302,312,10,1330,10,50126,false
302,314,8,1684,2,47574,false
302,313,10,63,0,50189,false
302,315,2,810,0,48384,false
302,313,0,915,0,49274,false
302,316,0,179,0,48205,false
302,317,0,1450,0,47824,false
287,316,0,6282,0,174007,true
285,319,17,31476,0,151062,true
84,314,1,12518,1,161489,true
82,314,1,25674,1,176736,true
294,313,1,7375,0,168864,true
292,313,1,12480,0,164256,true
298,320,0,21412,0,147452,true
298,320,0,16277,0,147979,true
298,315,0,15135,0,162587,true
298,314,0,13290,0,161269,true
35,202,0,3,0,39,false
33,300,0,23,0,16,false
33,297,0,20,0,19,false
33,323,0,0,0,16,false
33,304,0,10,0,29,false
33,387,0,129,0,145,false
33,337,0,11,0,18,false
33,204,0,94,0,51,false
33,313,0,20,0,38,false
33,325,0,39,0,90,false
256,336,489,5,4192,156,false
237,335,221,9,4285,163,false
293,338,519,9,3673,147,false
197,339,49,7,4236,156,false
247,340,576,2,4249,149,false
311,305,330,1,4566,157,false
222,294,468,5,3781,144,false
280,305,30,5,4596,152,false
261,329,715,3,4496,147,false
252,261,36,10,4632,162,false
103,114,1698,55,31165,1137,false
87,134,1931,36,32990,1303,false
67,138,241,52,30924,1085,false
92,142,584,82,33574,1221,false
94,144,1021,166,31945,919,false
175,136,67,157,33641,1064,false
180,139,775,89,31170,830,false
42,145,973,103,34614,961,false
167,137,1831,44,33001,786,false
124,142,264,33,34350,928,false
193,155,5917,329,223188,7803,true
214,166,1524,601,227081,7538,true
227,168,1052,232,224240,7571,true
254,205,2344,867,224737,8405,true
254,205,231,796,224471,8367,true
252,201,2213,1169,226950,7236,true
251,152,1809,983,226280,7384,true
251,135,1428,714,228378,7950,true
254,149,684,301,225596,7685,true
254,151,2854,270,225524,7680,true
63,178,0,8,184,18873,false
63,178,0,6,184,18867,false
