rgbFogoR,rgbFogoG,rgbFogoB,rgbFumacaR,rgbFumacaG,rgbFumacaB,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
0,0,0,141,123,144,0,6,0,11,false
0,0,0,144,125,145,0,6,0,14,false
0,0,0,149,129,149,0,3,0,14,false
0,0,0,165,150,165,0,5,0,19,false
0,0,0,144,128,146,0,8,0,22,false
0,0,0,182,161,169,0,12,0,31,false
0,0,0,155,138,150,0,10,0,32,false
0,0,0,176,158,180,0,13,0,18,false
0,0,0,184,164,187,0,12,0,20,false
0,0,0,157,136,159,0,2,0,20,false
133,114,116,152,137,149,10,31,10,51,false
39,42,22,86,101,31,411,179,22430,4065,false
72,77,49,81,90,26,518,217,24306,4380,false
65,72,42,72,75,19,1049,60,23479,4125,false
38,44,27,71,69,17,244,190,24062,4190,false
32,37,22,87,92,29,1467,194,22012,3931,false
33,34,20,76,89,30,290,133,24352,4323,false
24,27,15,100,104,29,1344,213,23356,4144,false
23,21,13,84,95,27,523,163,23829,4160,false
34,35,25,75,78,25,1410,304,21946,3840,false
20,22,11,71,69,28,1033,242,22796,3918,false
28,28,19,56,56,11,882,249,22828,4089,false
35,29,21,64,79,26,1089,361,23885,4279,false
40,38,29,45,47,14,805,160,22023,3929,false
23,23,13,74,83,27,136,62,24021,4341,false
24,24,15,67,73,27,1269,293,23292,4222,false
36,35,25,45,46,15,268,225,23753,4116,false
44,42,33,33,34,16,1244,346,22048,3876,false
43,41,32,73,66,42,228,31,23981,4147,false
92,74,79,144,137,140,237,444,8411,22113,true
105,81,84,145,138,141,556,546,9297,23052,true
121,87,90,145,138,141,584,723,8995,22836,true
157,93,89,145,138,141,374,225,9671,23277,true
98,76,81,144,137,140,186,919,8809,21917,true
195,102,77,146,139,142,211,381,9882,23658,true
203,116,82,145,138,141,505,1500,9314,23417,true
144,85,84,143,136,139,417,127,9465,23531,true
123,77,80,144,136,140,655,827,8659,22590,true
197,119,84,146,137,141,36,117,9501,23414,true
185,99,78,145,138,142,84,526,8743,23116,true
197,115,85,147,139,142,17,307,9518,23721,true
191,108,83,149,139,145,109,231,8852,22885,true
150,100,81,148,138,142,1287,1407,10805,25128,true
140,100,84,147,139,142,908,1518,9760,24403,true
144,99,82,147,138,142,831,562,9974,24566,true
169,106,88,147,140,143,894,1257,8866,23146,true
173,100,83,148,139,143,793,464,10767,25030,true
62,66,32,90,85,68,74,1786,1793,28696,true
55,62,30,82,81,59,19,449,1778,28418,true
76,85,46,79,71,59,68,1433,1725,27263,true
75,84,46,80,72,59,60,1135,1718,27283,true
60,68,29,86,77,60,167,2327,1892,29590,true
60,69,30,83,80,54,175,1989,1893,29272,true
75,86,42,86,76,59,34,823,1858,28767,true
54,66,32,88,87,60,116,2382,1777,26890,true
72,83,39,81,81,52,6,475,1864,28292,true
62,71,33,90,79,61,168,2429,1945,29319,true
60,69,30,86,73,57,84,815,1948,29107,true
57,66,30,81,78,55,171,1819,1774,27500,true
73,79,39,88,77,57,35,820,1913,29927,true
57,60,32,83,73,49,109,2259,1883,29759,true
56,63,33,75,77,45,43,731,1870,29196,true
49,54,28,79,78,51,116,2047,1767,27712,true
62,71,35,75,75,43,31,308,1839,29504,true
59,67,32,74,74,42,82,2480,1849,30192,true
0,0,0,184,189,197,0,77,0,35309,false
0,0,0,184,189,197,0,1333,0,34747,false
0,0,0,184,189,197,0,2071,0,33238,false
0,0,0,183,188,196,0,883,0,33864,false
0,0,0,185,190,198,0,1095,0,32143,false
0,0,0,184,189,197,0,32,0,33896,false
0,0,0,185,190,198,0,636,0,32779,false
0,0,0,185,190,198,0,612,0,33284,false
0,0,0,186,191,199,0,221,0,32558,false
0,0,0,187,192,199,0,1051,0,32233,false
0,0,0,185,190,198,0,665,0,33223,false
0,0,0,184,189,197,0,1582,0,33815,false
0,0,0,185,190,198,0,595,0,32628,false
0,0,0,184,189,197,0,0,0,33815,false
0,0,0,186,191,198,0,277,0,32905,false
0,0,0,184,189,197,0,92,0,33907,false
0,0,0,186,191,197,0,247,0,32658,false
0,0,0,185,190,198,0,81,0,33826,false
0,0,0,190,186,191,0,4408,0,118058,true
0,0,0,190,188,194,0,21198,0,102669,true
0,0,0,189,187,190,0,8234,0,109824,true
0,0,0,189,187,191,0,17506,0,120175,true
0,0,0,188,187,190,0,5135,0,114959,true
0,0,0,187,186,189,0,8204,0,111971,true
0,0,0,191,190,195,0,14345,0,100614,true
0,0,0,190,189,193,0,10949,0,101022,true
0,0,0,188,187,190,0,10133,0,110747,true
0,0,0,188,187,190,0,8509,0,109531,true
0,0,0,191,190,193,0,14530,0,96217,true
0,0,0,187,186,189,0,2593,0,112124,true
0,0,0,189,186,191,0,9799,0,106016,true
0,0,0,189,186,190,0,11134,0,100990,true
0,0,0,188,185,190,0,4313,0,101703,true
0,0,0,188,186,191,0,6070,0,107060,true
0,0,0,191,190,193,0,7037,0,94666,true
0,0,0,188,186,190,0,2368,0,109428,true
0,0,0,7,25,12,0,3,0,11,false
0,0,0,35,31,4,0,0,0,11,false
0,0,0,30,51,42,0,4,0,15,false
0,0,0,35,31,4,0,0,0,11,false
0,0,0,206,220,217,0,4,0,19,false
0,0,0,207,217,216,0,63,0,74,false
0,0,0,35,31,4,0,8,0,11,false
0,0,0,72,108,115,0,54,0,20,false
0,0,0,154,176,178,0,9,0,20,false
0,0,0,168,179,165,0,20,0,40,false
0,0,0,203,211,225,0,0,0,20,false
0,0,0,183,198,199,0,23,0,17,false
0,0,0,109,151,155,0,15,0,35,false
0,0,0,33,30,4,0,4,0,13,false
0,0,0,30,46,24,0,21,0,14,false
0,0,0,52,62,56,0,15,0,28,false
0,0,0,50,77,71,0,24,0,38,false
0,0,0,34,53,36,0,11,0,17,false
200,151,112,160,127,130,292,5,2008,83,false
220,162,115,168,137,138,149,11,2112,88,false
198,144,101,191,157,154,273,12,1735,71,false
155,114,80,184,147,148,50,15,2062,73,false
144,110,79,151,118,126,327,5,2062,66,false
219,164,124,113,88,102,73,2,2135,75,false
177,129,90,130,111,118,272,4,1790,62,false
157,96,73,118,93,105,24,12,2159,63,false
217,164,101,123,104,115,359,4,2149,58,false
202,155,97,160,138,110,140,5,2299,68,false
175,124,82,148,99,91,232,2,1917,60,false
85,67,44,175,153,129,98,6,2201,62,false
134,99,70,98,90,104,232,6,2149,66,false
173,136,109,98,90,105,17,9,2218,71,false
168,126,100,97,90,105,234,6,1915,60,false
32,23,13,94,86,107,30,1,2248,72,false
199,147,105,95,86,107,262,10,2177,70,false
114,86,61,94,85,106,50,2,2198,70,false
56,42,35,90,68,63,1278,0,20987,727,false
55,38,30,91,69,63,1361,36,22233,753,false
59,41,31,79,56,46,249,127,20738,600,false
57,41,33,90,68,62,405,9,22638,744,false
66,51,43,92,70,62,681,29,21419,571,false
114,101,96,69,48,40,29,139,22609,605,false
113,97,91,97,74,64,569,121,20850,450,false
46,36,31,94,70,62,666,44,23275,561,false
111,101,96,105,91,86,1223,58,22073,392,false
81,71,66,97,73,65,131,12,23144,549,false
101,90,86,115,101,96,1091,17,20982,375,false
108,97,92,98,75,64,245,96,22899,453,false
106,95,90,90,82,78,218,99,20764,276,false
98,87,83,125,112,107,814,58,22085,395,false
112,101,96,101,90,85,94,56,20670,332,false
88,77,73,125,112,110,1397,2,23482,393,false
107,96,91,106,94,90,1554,44,22224,376,false
60,50,45,116,104,101,84,1,23566,392,false
151,56,81,109,44,79,3864,319,151352,5956,true
170,59,80,121,52,86,965,499,153906,5773,true
169,61,82,114,48,85,467,263,151819,5693,true
203,69,92,107,42,76,1362,577,152544,6350,true
203,69,92,113,47,81,528,631,152347,6324,true
206,67,86,96,30,67,1220,930,153764,5420,true
202,62,82,97,33,68,1038,765,153385,5559,true
204,63,85,120,56,84,1336,673,155100,6093,true
211,68,90,115,48,79,392,257,152993,5816,true
211,68,90,117,48,78,2149,263,152951,5830,true
251,229,226,95,35,71,1920,1119,154913,4697,true
254,229,226,115,45,80,1920,697,154871,5133,true
253,231,223,104,36,71,648,1020,154265,5717,true
249,234,211,114,42,76,306,62,154565,5071,true
249,234,211,114,42,76,229,650,154494,5067,true
246,203,183,114,45,82,1219,388,155784,5459,true
238,129,137,108,41,77,162,1364,154656,6431,true
231,88,106,106,40,78,1721,1422,157505,6881,true
39,38,31,70,69,67,0,3,23,11992,false
39,38,31,70,69,67,0,3,23,11994,false
39,38,31,70,69,67,0,2,23,11994,false
171,165,169,72,67,61,20,322,43,12316,false
203,197,202,74,69,65,2,474,25,12468,false
198,192,197,96,91,90,1,172,44,12144,false
195,190,195,51,46,43,26,336,51,12132,false
110,105,110,48,42,41,19,795,63,12939,false
108,103,101,57,56,55,7,642,44,12774,false
33,30,29,70,64,60,18,146,45,13085,false
38,36,33,41,36,38,3,112,41,12886,false
46,51,39,82,71,79,14,12,59,13097,false
29,24,26,60,53,51,8,308,49,13194,false
21,16,19,51,45,45,16,229,75,13326,false
60,55,59,89,84,83,36,10,85,13204,false
33,28,31,87,80,80,4,137,79,13463,false
97,96,91,92,84,83,50,244,135,13448,false
169,158,145,80,75,73,72,178,151,13641,false
19,6,17,73,52,42,357,1850,89859,38724,true
19,11,21,30,9,14,1515,3112,88166,36507,true
14,6,13,39,19,22,1050,1889,88809,36835,true
16,9,19,18,13,26,397,956,88563,35551,true
13,5,17,10,6,13,145,1019,88954,35816,true
28,17,31,1,0,5,557,617,88006,34934,true
17,8,21,10,5,16,906,798,88048,35018,true
20,7,20,25,21,33,103,107,87903,35041,true
23,6,20,25,16,27,529,1145,88577,36163,true
41,17,32,46,27,35,840,2078,88743,37119,true
40,14,27,52,22,25,685,2484,89262,38647,true
40,17,31,92,48,40,466,1846,89209,38965,true
51,36,48,69,32,33,276,218,88986,38429,true
41,31,34,43,10,14,463,1453,88746,37512,true
13,0,2,42,10,15,303,773,89289,37656,true
33,14,26,24,0,12,290,447,89036,37065,true
20,9,16,37,21,30,954,128,88335,37528,true
14,3,14,68,42,35,546,973,88490,38038,true
112,105,109,208,218,228,13,868,3368,2943,true
117,92,98,160,178,189,481,379,3694,1712,true
137,128,136,152,173,185,259,1091,3627,1852,true
92,53,56,163,181,191,193,355,3501,2067,true
72,53,64,149,170,183,160,416,3787,2268,true
85,64,69,173,188,202,465,107,3966,1960,true
131,62,59,180,194,206,277,31,4064,2237,true
36,43,55,173,187,200,68,442,3898,2402,true
51,56,66,193,209,220,34,460,4098,2697,true
33,39,47,184,200,212,33,215,3931,2617,true
52,57,65,183,199,212,369,316,3729,3013,true
34,40,48,210,219,230,395,44,3536,2573,true
32,38,47,201,212,223,983,689,4712,2324,true
43,49,57,205,217,226,1475,126,5011,2447,true
4,5,10,214,224,232,444,20,5156,2304,true
6,8,14,210,224,233,137,272,5148,2175,true
2,4,9,213,224,235,289,211,5445,2093,true
35,40,47,207,218,229,330,194,5478,1981,true
21,0,18,70,35,46,863,28,11200,68,true
22,0,13,78,42,58,232,8,11483,71,true
23,0,16,78,42,54,35,25,11165,43,true
21,0,16,84,49,59,902,36,10581,35,true
24,0,16,88,53,62,780,8,10385,35,true
22,0,13,85,51,56,253,9,10328,26,true
21,0,12,85,51,56,38,8,10347,27,true
21,0,15,89,47,54,847,2,9481,24,true
22,0,16,217,214,176,1097,59,9250,86,true
21,0,16,231,146,69,214,33,9267,57,true
22,0,16,231,146,69,344,13,9594,73,true
23,0,15,233,155,72,161,32,9106,89,true
25,0,18,214,132,68,560,3,9034,70,true
22,0,17,232,167,92,165,57,8941,146,true
23,0,14,218,206,164,326,168,9360,238,true
35,5,26,212,121,52,1453,403,10394,549,true
43,14,25,53,15,7,1362,319,10722,557,true
45,14,22,201,116,58,1082,109,11476,440,true
123,116,116,166,161,159,514,4338,4351,35566,true
123,116,116,166,161,156,414,162,5165,36681,true
126,116,117,164,160,156,43,1598,4308,33968,true
128,120,128,166,162,156,947,3114,6112,33567,true
131,124,128,163,159,151,981,6542,5289,27426,true
132,127,129,171,163,157,2338,12764,3774,20803,true
130,112,116,165,159,150,911,6569,4378,20857,true
142,122,124,166,161,152,1384,1806,5158,22609,true
161,145,143,166,162,152,635,1129,5013,21986,true
157,139,137,166,162,152,1061,820,6219,21789,true
152,139,136,166,161,152,807,1552,5820,20434,true
117,107,111,164,159,150,392,365,6611,22154,true
127,113,116,167,160,153,59,40,5761,20474,true
159,142,143,166,155,147,701,2297,5910,19857,true
119,107,110,163,154,146,431,1204,6192,19270,true
126,110,113,162,153,145,1229,144,7139,19713,true
147,128,130,162,153,145,737,151,6929,19421,true
150,131,133,164,155,144,556,346,7695,19367,true
75,58,59,217,174,135,46,84,2,74,true
64,41,42,219,215,220,3,57,11,12,true
61,38,39,220,219,219,43,49,45,25,true
65,42,43,207,139,80,5,55,16,67,true
0,0,0,227,221,205,45,82,0,107,true
0,0,0,227,214,201,16,11,0,78,true
91,58,59,232,178,142,30,23,30,84,true
97,65,58,167,97,70,54,18,54,96,true
102,67,66,102,67,66,205,155,235,239,true
104,69,70,104,69,70,879,837,933,933,true
105,66,73,106,66,74,2842,2650,3077,2889,true
99,61,63,105,67,72,3337,2203,4270,3136,true
90,53,56,98,56,60,1572,1999,1505,890,true
61,32,27,93,52,54,2658,3017,1612,119,true
46,23,24,101,53,50,1213,867,2718,23,true
46,24,26,0,0,0,1240,119,2852,0,true
47,24,25,219,219,219,530,22,3248,1,true
47,25,24,218,219,221,420,3,2432,3,true
182,141,101,150,135,124,8,87,14,6099,true
163,125,86,148,134,121,8,45,18,5962,true
216,175,116,136,130,125,11,425,25,6524,true
137,124,119,141,135,130,51,488,69,6450,true
157,159,159,144,139,136,131,4,156,6520,true
104,100,118,145,143,141,108,7,177,6457,true
218,177,120,146,142,141,101,15,55,6505,true
222,182,125,143,140,139,130,23,47,6480,true
214,172,117,144,139,140,24,344,79,6849,true
213,171,116,143,140,142,23,411,70,6891,true
170,135,101,142,137,136,36,327,115,6522,true
224,184,115,144,139,137,10,100,60,6791,true
218,177,114,142,140,138,54,202,61,6724,true
218,179,115,140,138,136,2,337,58,6454,true
212,170,109,139,139,137,25,103,36,6621,true
177,138,98,141,139,137,5,441,53,6895,true
219,176,109,144,141,140,18,457,54,7078,true
215,175,111,141,141,141,71,331,124,7226,true
127,118,129,164,144,139,1421,1197,33084,128819,true
123,114,124,164,144,139,899,1192,33490,129351,true
129,120,131,168,147,140,1363,1618,34447,130437,true
134,125,136,168,147,141,914,1722,34404,131073,true
141,129,139,166,145,140,816,312,33631,130125,true
147,134,144,167,147,142,1081,527,33323,130546,true
143,131,142,160,142,139,41,269,33672,130394,true
144,131,142,155,138,134,606,229,33929,130775,true
140,128,136,121,106,106,183,678,33855,131072,true
135,125,133,113,100,103,616,297,34545,131072,true
134,124,133,109,99,104,1088,200,34943,130872,true
137,122,130,108,98,104,168,95,34713,131167,true
126,114,124,104,99,106,376,1857,35319,132729,true
125,111,122,101,97,107,430,2358,35143,133525,true
131,116,124,99,96,107,1425,804,33894,133533,true
125,111,122,98,95,106,1334,284,33809,133241,true
125,111,122,94,92,108,633,716,33261,132817,true
129,115,128,90,92,108,735,1012,33074,132229,true
180,158,84,127,117,110,23,440,910,13099,true
180,158,84,121,121,120,61,990,870,13749,true
185,163,89,120,120,121,93,699,817,13798,true
188,166,90,118,121,123,60,239,810,13988,true
191,169,92,123,118,112,7,117,810,13681,true
168,144,89,126,116,104,625,6738,185,7250,true
169,147,84,130,114,95,462,6687,348,6994,true
181,160,79,115,115,116,187,4301,372,11551,true
181,158,81,112,118,121,12,6079,360,13073,true
183,159,80,112,117,121,50,2343,322,13894,true
186,161,84,113,119,121,116,2225,476,15298,true
184,157,84,114,119,125,177,2812,499,16706,true
183,158,84,112,117,123,9,1493,485,13805,true
183,158,85,113,119,122,3,5305,496,11401,true
193,167,87,127,116,101,11,1821,496,11984,true
194,167,87,126,114,100,68,10,564,11391,true
184,161,79,114,119,124,59,988,555,10996,true
190,163,87,115,121,124,130,4937,694,16328,true
