rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
31,200,53,8,2828,26,true
32,220,164,15,3275,43,true
33,222,371,32,3199,58,true
30,221,55,66,3220,109,true
32,221,311,59,2888,117,true
30,232,212,12,3432,121,true
33,234,486,26,3374,91,true
34,259,52,59,3484,62,true
30,251,281,38,3093,53,true
32,256,120,35,3604,97,true
37,264,388,24,3481,77,true
32,98,40,24,3564,73,true
27,105,290,20,3191,57,true
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,315,0,3,0,3,false
0,242,0,17,0,17,false
0,211,0,14,0,17,false
0,308,0,9,0,8,false
0,231,0,6,0,11,false
0,235,0,6,0,14,false
0,242,0,3,0,14,false
0,271,0,5,0,19,false
0,236,0,8,0,22,false
0,292,0,12,0,31,false
0,251,0,10,0,32,false
0,289,0,13,0,18,false
0,301,0,12,0,20,false
0,255,0,2,0,20,false
210,248,10,31,10,51,false
60,130,411,179,22430,4065,false
115,120,518,217,24306,4380,false
104,103,1049,60,23479,4125,false
62,100,244,190,24062,4190,false
52,127,1467,194,22012,3931,false
52,116,290,133,24352,4323,false
38,144,1344,213,23356,4144,false
34,125,523,163,23829,4160,false
55,110,1410,304,21946,3840,false
31,103,1033,242,22796,3918,false
44,79,882,249,22828,4089,false
52,99,1089,361,23885,4279,false
63,66,805,160,22023,3929,false
35,111,136,62,24021,4341,false
37,100,1269,293,23292,4222,false
57,65,268,225,23753,4116,false
69,50,1244,346,22048,3876,false
68,110,228,31,23981,4147,false
143,237,237,444,8411,22113,true
160,239,556,546,9297,23052,true
181,238,584,723,8995,22836,true
218,238,374,225,9671,23277,true
151,236,186,919,8809,21917,true
255,239,211,381,9882,23658,true
269,238,505,1500,9314,23417,true
201,235,417,127,9465,23531,true
176,236,655,827,8659,22590,true
264,238,36,117,9501,23414,true
244,239,84,526,8743,23116,true
263,241,17,307,9518,23721,true
255,244,109,231,8852,22885,true
210,242,1287,1407,10805,25128,true
201,241,908,1518,9760,24403,true
205,241,831,562,9974,24566,true
233,242,894,1257,8866,23146,true
234,243,793,464,10767,25030,true
95,141,74,1786,1793,28696,true
86,129,19,449,1778,28418,true
119,123,68,1433,1725,27263,true
118,124,60,1135,1718,27283,true
93,132,167,2327,1892,29590,true
93,127,175,1989,1893,29272,true
117,131,34,823,1858,28767,true
87,137,116,2382,1777,26890,true
113,125,6,475,1864,28292,true
97,137,168,2429,1945,29319,true
93,130,84,815,1948,29107,true
90,125,171,1819,1774,27500,true
112,132,35,820,1913,29927,true
88,124,109,2259,1883,29759,true
88,116,43,731,1870,29196,true
77,122,116,2047,1767,27712,true
98,114,31,308,1839,29504,true
92,113,82,2480,1849,30192,true
0,313,0,77,0,35309,false
0,313,0,1333,0,34747,false
0,313,0,2071,0,33238,false
0,312,0,883,0,33864,false
0,315,0,1095,0,32143,false
0,313,0,32,0,33896,false
0,315,0,636,0,32779,false
0,315,0,612,0,33284,false
0,317,0,221,0,32558,false
0,318,0,1051,0,32233,false
0,315,0,665,0,33223,false
0,313,0,1582,0,33815,false
0,315,0,595,0,32628,false
0,313,0,0,0,33815,false
0,316,0,277,0,32905,false
0,313,0,92,0,33907,false
0,315,0,247,0,32658,false
0,315,0,81,0,33826,false
0,315,0,4408,0,118058,true
0,318,0,21198,0,102669,true
0,315,0,8234,0,109824,true
0,315,0,17506,0,120175,true
0,313,0,5135,0,114959,true
0,312,0,8204,0,111971,true
0,319,0,14345,0,100614,true
0,318,0,10949,0,101022,true
0,314,0,10133,0,110747,true
0,314,0,8509,0,109531,true
0,318,0,14530,0,96217,true
0,313,0,2593,0,112124,true
0,314,0,9799,0,106016,true
0,314,0,11134,0,100990,true
0,314,0,4313,0,101703,true
0,314,0,6070,0,107060,true
0,319,0,7037,0,94666,true
0,314,0,2368,0,109428,true
0,20,0,3,0,11,false
0,47,0,0,0,11,false
0,61,0,4,0,15,false
0,47,0,0,0,11,false
0,351,0,4,0,19,false
0,352,0,63,0,74,false
0,47,0,8,0,11,false
0,147,0,54,0,20,false
0,272,0,9,0,20,false
0,283,0,20,0,40,false
0,349,0,0,0,20,false
0,316,0,23,0,17,false
0,211,0,15,0,35,false
0,45,0,4,0,13,false
0,53,0,21,0,14,false
0,92,0,15,0,28,false
0,100,0,24,0,38,false
0,64,0,11,0,17,false
288,246,292,5,2008,83,false
313,260,149,11,2112,88,false
280,295,273,12,1735,71,false
220,282,50,15,2062,73,false
207,232,327,5,2062,66,false
315,177,73,2,2135,75,false
250,206,272,4,1790,62,false
214,184,24,12,2159,63,false
306,197,359,4,2149,58,false
286,243,140,5,2299,68,false
244,212,232,2,1917,60,false
123,269,98,6,2201,62,false
191,163,232,6,2149,66,false
255,163,17,9,2218,71,false
244,162,234,6,1915,60,false
44,159,30,1,2248,72,false
284,159,262,10,2177,70,false
163,158,50,2,2198,70,false
82,134,1278,0,20987,727,false
77,135,1361,36,22233,753,false
83,113,249,127,20738,600,false
82,133,405,9,22638,744,false
98,136,681,29,21419,571,false
180,99,29,139,22609,605,false
176,143,569,121,20850,450,false
68,138,666,44,23275,561,false
177,164,1223,58,22073,392,false
127,143,131,12,23144,549,false
160,181,1091,17,20982,375,false
172,144,245,96,22899,453,false
169,144,218,99,20764,276,false
155,198,814,58,22085,395,false
178,159,94,56,20670,332,false
138,199,1397,2,23482,393,false
169,167,1554,44,22224,376,false
92,185,84,1,23566,392,false
197,150,3864,319,151352,5956,true
216,167,965,499,153906,5773,true
217,159,467,263,151819,5693,true
257,146,1362,577,152544,6350,true
257,156,528,631,152347,6324,true
257,129,1220,930,153764,5420,true
251,131,1038,765,153385,5559,true
253,167,1336,673,155100,6093,true
263,158,392,257,152993,5816,true
263,160,2149,263,152951,5830,true
403,131,1920,1119,154913,4697,true
406,157,1920,697,154871,5133,true
405,140,648,1020,154265,5717,true
398,154,306,62,154565,5071,true
398,154,229,650,154494,5067,true
375,157,1219,388,155784,5459,true
327,147,162,1364,154656,6431,true
297,146,1721,1422,157505,6881,true
62,116,0,3,23,11992,false
62,116,0,3,23,11994,false
62,116,0,2,23,11994,false
283,115,20,322,43,12316,false
337,119,2,474,25,12468,false
328,157,1,172,44,12144,false
324,81,26,336,51,12132,false
182,76,19,795,63,12939,false
177,95,7,642,44,12774,false
53,112,18,146,45,13085,false
61,66,3,112,41,12886,false
77,132,14,12,59,13097,false
46,95,8,308,49,13194,false
33,81,16,229,75,13326,false
98,145,36,10,85,13204,false
53,140,4,137,79,13463,false
159,148,50,244,135,13448,false
270,130,72,178,151,13641,false
27,104,357,1850,89859,38724,true
30,38,1515,3112,88166,36507,true
20,53,1050,1889,88809,36835,true
25,31,397,956,88563,35551,true
21,16,145,1019,88954,35816,true
44,2,557,617,88006,34934,true
26,17,906,798,88048,35018,true
29,43,103,107,87903,35041,true
32,39,529,1145,88577,36163,true
57,66,840,2078,88743,37119,true
54,68,685,2484,89262,38647,true
56,122,466,1846,89209,38965,true
80,90,276,218,88986,38429,true
63,51,463,1453,88746,37512,true
14,51,303,773,89289,37656,true
47,28,290,447,89036,37065,true
29,55,954,128,88335,37528,true
20,94,546,973,88490,38038,true
183,356,13,868,3368,2943,true
180,282,481,379,3694,1712,true
225,272,259,1091,3627,1852,true
129,287,193,355,3501,2067,true
112,267,160,416,3787,2268,true
130,304,465,107,3966,1960,true
171,314,277,31,4064,2237,true
69,302,68,442,3898,2402,true
92,336,34,460,4098,2697,true
62,322,33,215,3931,2617,true
93,320,369,316,3729,3013,true
64,360,395,44,3536,2573,true
61,347,983,689,4712,2324,true
79,353,1475,126,5011,2447,true
9,366,444,20,5156,2304,true
13,363,137,272,5148,2175,true
7,366,289,211,5445,2093,true
65,356,330,194,5478,1981,true
27,97,863,28,11200,68,true
26,111,232,8,11483,71,true
28,110,35,25,11165,43,true
26,120,902,36,10581,35,true
30,127,780,8,10385,35,true
27,121,253,9,10328,26,true
25,121,38,8,10347,27,true
26,123,847,2,9481,24,true
28,347,1097,59,9250,86,true
26,303,214,33,9267,57,true
28,303,344,13,9594,73,true
28,309,161,32,9106,89,true
31,281,560,3,9034,70,true
28,318,165,57,8941,146,true
27,342,326,168,9360,238,true
46,270,1453,403,10394,549,true
57,61,1362,319,10722,557,true
57,259,1082,109,11476,440,true
200,272,514,4338,4351,35566,true
200,271,414,162,5165,36681,true
204,270,43,1598,4308,33968,true
211,272,947,3114,6112,33567,true
215,267,981,6542,5289,27426,true
218,278,2338,12764,3774,20803,true
206,269,911,6569,4378,20857,true
224,270,1384,1806,5158,22609,true
258,270,635,1129,5013,21986,true
249,270,1061,820,6219,21789,true
244,271,807,1552,5820,20434,true
190,267,392,365,6611,22154,true
203,271,59,40,5761,20474,true
254,266,701,2297,5910,19857,true
192,264,431,1204,6192,19270,true
201,261,1229,144,7139,19713,true
233,261,737,151,6929,19421,true
238,264,556,346,7695,19367,true
114,320,46,84,2,74,true
92,364,3,57,11,12,true
87,366,43,49,45,25,true
94,280,5,55,16,67,true
0,369,45,82,0,107,true
0,365,16,11,0,78,true
131,338,30,23,30,84,true
138,222,54,18,54,96,true
146,147,205,155,235,239,true
151,151,879,837,933,933,true
152,152,2842,2650,3077,2889,true
140,152,3337,2203,4270,3136,true
127,137,1572,1999,1505,890,true
82,129,2658,3017,1612,119,true
61,136,1213,867,2718,23,true
63,0,1240,119,2852,0,true
63,365,530,22,3248,1,true
63,364,420,3,2432,3,true
263,237,8,87,14,6099,true
234,233,8,45,18,5962,true
313,221,11,425,25,6524,true
218,229,51,488,69,6450,true
263,236,131,4,156,6520,true
176,239,108,7,177,6457,true
318,241,101,15,55,6505,true
324,236,130,23,47,6480,true
310,237,24,344,79,6849,true
308,238,23,411,70,6891,true
249,233,36,327,115,6522,true
324,237,10,100,60,6791,true
316,235,54,202,61,6724,true
316,231,2,337,58,6454,true
305,232,25,103,36,6621,true
256,233,5,441,53,6895,true
315,238,18,457,54,7078,true
310,235,71,331,124,7226,true
209,259,1421,1197,33084,128819,true
203,259,899,1192,33490,129351,true
213,264,1363,1618,34447,130437,true
221,264,914,1722,34404,131073,true
230,261,816,312,33631,130125,true
240,263,1081,527,33323,130546,true
234,253,41,269,33672,130394,true
235,246,606,229,33929,130775,true
228,192,183,678,33855,131072,true
222,181,616,297,34545,131072,true
220,177,1088,200,34943,130872,true
221,175,168,95,34713,131167,true
206,173,376,1857,35319,132729,true
203,169,430,2358,35143,133525,true
211,167,1425,804,33894,133533,true
203,165,1334,284,33809,133241,true
204,160,633,716,33261,132817,true
210,157,735,1012,33074,132229,true
261,203,23,440,910,13099,true
260,202,61,990,870,13749,true
269,201,93,699,817,13798,true
273,200,60,239,810,13988,true
278,200,7,117,810,13681,true
246,199,625,6738,185,7250,true
246,200,462,6687,348,6994,true
261,192,187,4301,372,11551,true
261,192,12,6079,360,13073,true
263,191,50,2343,322,13894,true
269,193,116,2225,476,15298,true
265,195,177,2812,499,16706,true
264,193,9,1493,485,13805,true
264,193,3,5305,496,11401,true
278,200,11,1821,496,11984,true
279,197,68,10,564,11391,true
264,196,59,988,555,10996,true
273,197,130,4937,694,16328,true
