rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
345,323,70,692,437,22864,true
350,321,16,274,462,23592,true
357,321,14,131,451,22995,true
348,320,72,794,534,24386,true
221,322,85,756,536,23751,true
230,316,70,1309,604,25695,true
178,316,85,1599,621,25350,true
142,314,102,448,706,26143,true
90,315,39,874,660,24476,true
113,313,68,815,774,26958,true
136,312,142,2648,802,27124,true
83,310,144,1322,918,28280,true
296,312,97,317,899,26807,true
286,304,110,774,1028,29054,true
195,304,96,1760,995,28567,true
179,300,81,1019,1109,30073,true
336,303,69,654,1064,27913,true
325,302,89,1191,1198,28882,true
42,0,66,0,9148,0,true
42,0,107,0,9149,0,true
48,0,86,0,9062,0,true
37,0,7,0,9156,0,true
23,0,25,0,9087,0,true
88,0,20,0,9176,0,true
51,0,53,0,9034,0,true
61,0,117,0,9059,0,true
60,0,5987,0,3047,0,true
35,0,7795,0,1264,0,true
42,0,1864,0,1183,0,true
38,0,140,0,1124,0,true
32,0,8,0,1191,0,true
24,0,149,0,975,0,true
96,0,217,0,974,0,true
65,0,240,0,1215,0,true
113,0,206,0,768,0,true
71,0,560,0,655,0,true
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
153,210,382,1579,2432,32798,true
143,208,223,1215,2273,32392,true
160,225,33,64,2465,32862,true
137,229,116,1610,2157,30782,true
165,226,50,137,2515,32725,true
146,228,211,1261,2368,32043,true
139,209,98,547,2417,32178,true
149,195,224,1527,2144,30516,true
157,195,194,322,2611,32500,true
148,200,365,1197,2509,31713,true
155,204,4,475,2615,32025,true
155,205,290,2069,2219,29644,true
166,206,118,408,2733,31617,true
162,206,404,1010,2623,30654,true
159,206,27,506,2760,31111,true
150,206,349,1623,2274,29031,true
164,209,121,155,2881,30956,true
168,208,499,1244,2773,30275,true
123,154,2211,651,19108,2534,false
85,141,484,234,19203,2524,false
159,114,936,303,18172,2231,false
180,123,1046,240,20249,2764,false
114,131,1812,409,19984,2640,false
162,80,1322,126,21571,2638,false
150,132,576,256,19408,2384,false
135,172,258,174,21829,2812,false
178,136,2508,339,21916,2723,false
157,166,223,236,21606,2576,false
137,196,2016,427,19900,2296,false
164,137,1271,221,22877,2797,false
209,154,2822,573,22722,2869,false
128,155,78,161,22955,2958,false
133,218,1730,190,20992,2679,false
138,187,343,49,23298,3007,false
137,153,2447,189,23439,2868,false
75,123,311,97,22987,2910,false
0,405,0,31,0,1056,false
0,405,0,48,0,1048,false
0,405,0,49,0,1007,false
0,405,0,10,0,1038,false
0,405,0,5,0,1002,false
0,405,0,52,0,986,false
0,405,0,81,0,921,false
0,405,0,28,0,958,false
0,406,0,8,0,929,false
0,406,0,20,0,938,false
0,405,0,48,0,881,false
0,403,0,13,0,951,false
0,402,0,19,0,900,false
0,401,0,42,0,909,false
0,405,0,63,0,837,false
0,406,0,53,0,856,false
0,405,0,2,0,835,false
0,405,0,14,0,870,false
30,194,343,1,2816,26,true
50,202,139,14,2983,40,true
222,196,96,8,2720,18,true
28,213,208,6,2775,34,true
30,196,391,10,3111,28,true
